,CRSP Index File on the S&P 500 - Equal-Weighted Return-excl. dividends,US Rate of Change in Consumer Price Index,CRSP Index File on the S&P 500 - Value-Weighted Return-excl. dividends,CRSP Index File on the S&P 500 - Value-Weighted Return-incl. dividends,US 30 Day Bill Returns,EMA 10,EMA 50,EMA 200,CRSP Index File on the S&P 500 - Level of the S&P 500 Index
2000-01-31 00:00:00,-0.021154650067197106,0.0029665953015828284,-0.009424480226846504,-0.009416696241447649,0.004333596392247971,0.040314754313971746,0.040314754313971746,0.040314754313971746,0.040314754313971746
2000-02-29 00:00:00,0.0063351425414890725,0.005906522104068437,0.011032705270621005,0.011032705270621005,0.004285802812708816,0.02715240693496878,0.03747581664399072,0.0395944268454691,-0.03207815627054456
2000-03-31 00:00:00,0.006667927875697214,0.008211195671516321,0.009093156653616069,0.009309614747345324,0.0043674487957719435,0.018291502882954638,0.03515980166379073,0.03898570055495589,-0.021582565351109
2000-04-30 00:00:00,0.006532030760296555,0.0005838295383630864,0.002765911338135434,0.002773625940851587,0.004584475216105813,0.03095501845689104,0.03722964624715599,0.03947281635579817,0.08794083853960485
2000-05-31 00:00:00,0.012702401815641515,0.0011673184186730926,0.010728067941218496,0.010728433992982313,0.004770602558600546,0.0207148344756249,0.03477491527902937,0.0388276540692721,-0.025365993440072714
2000-06-30 00:00:00,0.01655008862041208,0.005234277238429998,0.020178360621141134,0.020196481098136657,0.003737008676908744,0.014525103554001603,0.03288849955854574,0.03830868551541563,-0.013328685593303226
2000-07-31 00:00:00,0.01922765811150476,0.0023173129551602918,0.009742012126625899,0.009778922104121816,0.004760650101488024,0.014467247784563264,0.0321558876865279,0.03806886672244723,0.014206896822090745
2000-08-31 00:00:00,0.010709448590970188,0.0,0.005066849808838969,0.005066849808838969,0.0049895315588101225,0.007904724780264025,0.030046769395327487,0.037474881692979266,-0.021626628739082544
2000-09-30 00:00:00,0.0019840315071925903,0.005194485270831507,0.0020739309177746396,0.002091712842595197,0.005080074543158853,0.016630045297953887,0.03106038579659144,0.037658156378895476,0.05589398762755827
2000-10-31 00:00:00,-0.0018942269155622262,0.00172551045022176,-3.7940149718345136e-05,-3.7940149718345136e-05,0.005203438601594889,0.003207280588109731,0.027599383976874566,0.0367143422795414,-0.05719516060618897
2000-11-30 00:00:00,-0.0033954169093162764,0.0005748347508424681,-0.005965527428404355,-0.005876906233626572,0.004953710092991986,0.0007139627991520076,0.026105056477736047,0.036244488453365295,-0.010505967251157745
2000-12-31 00:00:00,0.011145329429157844,-0.0005741648010668558,0.00023425436030482722,0.00023425436030482722,0.0048969901477065765,-0.013507503601021275,0.022041952207950282,0.03511266167868703,-0.07750410240180104
2001-01-31 00:00:00,-0.028509614331720168,0.006302099985887937,-0.028781584553475535,-0.028781316961569398,0.0052293033290717154,-0.015524329767046194,0.020212854179632297,0.034518505368310456,-0.024600047514158334
2001-02-28 00:00:00,0.0037508896099939424,0.003990029235680791,0.005513582231832572,0.0056104141522599505,0.003646344000153325,-0.0003510195292673723,0.022084070742812885,0.034850946872513715,0.06792887654073732
2001-03-31 00:00:00,0.0015267848705786669,0.0022724161056643767,0.0010159637340246379,0.0010400729365778573,0.004310695587084646,-0.01869402704163335,0.017247928327515115,0.03349683236783915,-0.10123756084728026
2001-04-30 00:00:00,-0.013393848460346549,0.003965128477650686,-0.012699538864740496,-0.012699538864740496,0.003856553926920729,-0.029829412969575544,0.013436689975639408,0.03236812110402667,-0.07993864964531543
2001-05-31 00:00:00,0.008714409991785526,0.004511806476523087,0.013582104210962743,0.01358734256383651,0.00317794497941317,-0.006215766816884013,0.016833119422486015,0.03304152926090429,0.10004564087022788
2001-06-30 00:00:00,0.0045053048556218155,0.0016865769292038492,0.003912988266033897,0.003915524319816033,0.0027741484893488264,-0.005915898125543172,0.01599391909162345,0.0326673201238355,-0.0045664890145093945
2001-07-31 00:00:00,0.005305464102624254,-0.0028129526442203087,0.010204367889958309,0.010205931847816915,0.002994511970328358,-0.008329134448118952,0.014614208621375083,0.03215133984499425,-0.019188697899709964
2001-08-31 00:00:00,0.005049908720393165,0.0,0.003831682718787843,0.003952940824631808,0.0029915209359539182,-0.009895730306837585,0.013376576453043847,0.03166281495428713,-0.016945411671071435
2001-09-30 00:00:00,-0.002197743269500029,0.004496873889686207,-0.000588650920962849,-0.0005827670757507694,0.002726280318282729,-0.020949814288485812,0.010079722780143976,0.030644347221349923,-0.07069319220590284
2001-10-31 00:00:00,-0.010309076394655527,-0.0033706743455243805,-0.0020450637180271253,-0.00204450056768388,0.0021516834679435933,-0.03295721429996927,0.0062730468141914755,0.02947385108629525,-0.08699051435164482
2001-11-30 00:00:00,0.019748498380256028,-0.0016894262772633485,0.022682339686565613,0.022801244593239987,0.0017474722805614802,-0.019160513491769646,0.007710364199718424,0.02960768978339807,0.04292464014512865
2001-12-31 00:00:00,-0.008231894261455553,-0.003953805999750182,-0.008504490883702311,-0.00849922631480976,0.0014828999601716303,-0.008153332211819771,0.009030702213374747,0.02972481708453794,0.041378983547954655
2002-01-31 00:00:00,0.002295743762533964,0.0022614410136356424,0.005734017057685195,0.005880118170326134,0.0013890348442741197,-0.0027280980586023114,0.009526967053276767,0.02964482343823285,0.021685455630876253
2002-02-28 00:00:00,-0.005599699091263383,0.003945207424782633,-0.007398813842959284,-0.007398525719092505,0.001284175094093753,-0.00741817923507559,0.008034790128473548,0.029066033707213567,-0.028523544529205337
